AL,AK,AZ,AR,CA,CO,CT,FL,GA,ID,IL,IN,IA,KS,KY,LA,MD,MA,MI,MN,MS,MO,NE,NV,NJ,NM,NY,NC,OH,OK,OR,PA,RI,SC,TX,UT,VA,WA,WV,WI,cli,ili,hh_cmnty_cli,nohh_cmnty_cli,tested_positive,cli.1,ili.1,hh_cmnty_cli.1,nohh_cmnty_cli.1,tested_positive.1,cli.2,ili.2,hh_cmnty_cli.2,nohh_cmnty_cli.2,tested_positive.2
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0849198,1.0950034,26.6933223,21.0643762,16.4094684,1.2493568,1.2493568,26.9445283,21.2856278,15.6245945,1.2299043,1.2299043,27.0987256,21.5026164,13.3207935
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2493568,1.2493568,26.9445283,21.2856278,15.6245945,1.2299043,1.2299043,27.0987256,21.5026164,13.3207935,1.1044187,1.1174677,27.362495,22.0422845,14.2595263
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2299043,1.2299043,27.0987256,21.5026164,13.3207935,1.1044187,1.1174677,27.362495,22.0422845,14.2595263,1.1080274,1.1295084,27.4962481,22.3672801,16.496464
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1044187,1.1174677,27.362495,22.0422845,14.2595263,1.1080274,1.1295084,27.4962481,22.3672801,16.496464,1.064451,1.0791388,27.140593,21.89711,16.0898083
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1080274,1.1295084,27.4962481,22.3672801,16.496464,1.064451,1.0791388,27.140593,21.89711,16.0898083,1.0396033,1.0543324,27.4909514,22.0543755,15.5819441
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.064451,1.0791388,27.140593,21.89711,16.0898083,1.0396033,1.0543324,27.4909514,22.0543755,15.5819441,1.0902134,1.133783,27.3747278,21.9393814,15.9391573
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0396033,1.0543324,27.4909514,22.0543755,15.5819441,1.0902134,1.133783,27.3747278,21.9393814,15.9391573,1.0271867,1.0921926,26.7788515,21.5498137,15.7239816
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0902134,1.133783,27.3747278,21.9393814,15.9391573,1.0271867,1.0921926,26.7788515,21.5498137,15.7239816,0.9610832,1.0270724,26.9576104,21.946715,16.7839959
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0271867,1.0921926,26.7788515,21.5498137,15.7239816,0.9610832,1.0270724,26.9576104,21.946715,16.7839959,0.966295,1.0206231,26.5827967,21.7137885,17.0325685
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9610832,1.0270724,26.9576104,21.946715,16.7839959,0.966295,1.0206231,26.5827967,21.7137885,17.0325685,0.8960625,0.9420325,26.9838548,22.0622192,16.3529954
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.966295,1.0206231,26.5827967,21.7137885,17.0325685,0.8960625,0.9420325,26.9838548,22.0622192,16.3529954,0.9032146,0.9572688,27.180321,22.4087881,17.3988611
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8960625,0.9420325,26.9838548,22.0622192,16.3529954,0.9032146,0.9572688,27.180321,22.4087881,17.3988611,0.8629262,0.9258245,27.5510526,22.851995,19.6625451
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9032146,0.9572688,27.180321,22.4087881,17.3988611,0.8629262,0.9258245,27.5510526,22.851995,19.6625451,0.7418561,0.7726381,27.6179654,23.0990246,19.4342664
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8629262,0.9258245,27.5510526,22.851995,19.6625451,0.7418561,0.7726381,27.6179654,23.0990246,19.4342664,0.7304025,0.7455561,28.1516239,23.4777078,21.2179793
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7418561,0.7726381,27.6179654,23.0990246,19.4342664,0.7304025,0.7455561,28.1516239,23.4777078,21.2179793,0.9076624,0.937738,27.8420917,23.0997691,22.9483938
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7304025,0.7455561,28.1516239,23.4777078,21.2179793,0.9076624,0.937738,27.8420917,23.0997691,22.9483938,0.9051838,0.9207116,28.130734,23.2921447,21.3268666
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9076624,0.937738,27.8420917,23.0997691,22.9483938,0.9051838,0.9207116,28.130734,23.2921447,21.3268666,0.9276994,0.9494427,27.7991929,22.7302873,21.1747993
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9051838,0.9207116,28.130734,23.2921447,21.3268666,0.9276994,0.9494427,27.7991929,22.7302873,21.1747993,1.0169096,1.0086403,28.1537482,23.2518504,19.6755659
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9276994,0.9494427,27.7991929,22.7302873,21.1747993,1.0169096,1.0086403,28.1537482,23.2518504,19.6755659,1.1213046,1.104174,27.9928119,22.9827945,19.5906315
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0169096,1.0086403,28.1537482,23.2518504,19.6755659,1.1213046,1.104174,27.9928119,22.9827945,19.5906315,1.210559,1.1827126,27.7288913,22.52662,21.1402854
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1213046,1.104174,27.9928119,22.9827945,19.5906315,1.210559,1.1827126,27.7288913,22.52662,21.1402854,1.2418076,1.2040669,28.0212193,22.7504967,19.2753358
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.210559,1.1827126,27.7288913,22.52662,21.1402854,1.2418076,1.2040669,28.0212193,22.7504967,19.2753358,1.0653179,1.0078617,27.4853597,22.2880654,17.2765605
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2418076,1.2040669,28.0212193,22.7504967,19.2753358,1.0653179,1.0078617,27.4853597,22.2880654,17.2765605,1.1665038,1.1235353,27.9508055,22.4791562,19.9540662
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0653179,1.0078617,27.4853597,22.2880654,17.2765605,1.1665038,1.1235353,27.9508055,22.4791562,19.9540662,1.3056375,1.2367797,28.2633652,22.9625076,21.1737318
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1665038,1.1235353,27.9508055,22.4791562,19.9540662,1.3056375,1.2367797,28.2633652,22.9625076,21.1737318,1.1037609,1.1177226,28.012378,22.8944248,21.9696901
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3056375,1.2367797,28.2633652,22.9625076,21.1737318,1.1037609,1.1177226,28.012378,22.8944248,21.9696901,1.0851175,1.0986879,28.4874197,23.5309969,20.6154801
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1037609,1.1177226,28.012378,22.8944248,21.9696901,1.0851175,1.0986879,28.4874197,23.5309969,20.6154801,0.9963846,1.0031477,29.0743897,24.0500817,16.5860441
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0851175,1.0986879,28.4874197,23.5309969,20.6154801,0.9963846,1.0031477,29.0743897,24.0500817,16.5860441,0.9188632,0.9333927,28.7824767,23.7822147,18.8368413
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9963846,1.0031477,29.0743897,24.0500817,16.5860441,0.9188632,0.9333927,28.7824767,23.7822147,18.8368413,1.2066547,1.2011047,30.0138319,24.507726,20.8130168
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9188632,0.9333927,28.7824767,23.7822147,18.8368413,1.2066547,1.2011047,30.0138319,24.507726,20.8130168,1.1916292,1.1754243,29.5150811,23.888678,20.832547
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2066547,1.2011047,30.0138319,24.507726,20.8130168,1.1916292,1.1754243,29.5150811,23.888678,20.832547,1.1344505,1.1730749,29.2073872,23.6858735,19.952321
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1916292,1.1754243,29.5150811,23.888678,20.832547,1.1344505,1.1730749,29.2073872,23.6858735,19.952321,1.4704546,1.4682677,29.8130676,23.8176987,19.1094074
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1344505,1.1730749,29.2073872,23.6858735,19.952321,1.4704546,1.4682677,29.8130676,23.8176987,19.1094074,1.647234,1.6448282,30.1082345,23.8966766,21.0683729
